sample_name	condition
A1	pop1
A3	pop3
A4	pop4
A5	pop5
A6	pop6
B2	pop2
B3	pop3
B4	pop4
B5	pop5
C1	pop1
C2	pop2
C3	pop3
C5	pop5
C6	pop6
D4	pop4
D5	pop5
D6	pop6
E2	pop2
E3	pop3
E4	pop4
E5	pop5
E6	pop6
F1	pop1
F2	pop2
F3	pop3
F4	pop4
F5	pop5
