sample_name	unit_name	fastq1	fastq2	adapters3	adapters5
6B7	1	6B7_S47_R1_001.fastq.gz	6B7_S47_R2_001.fastq.gz		
6B8	1	6B8_S48_R1_001.fastq.gz	6B8_S48_R2_001.fastq.gz		
6C1	1	6C1_S49_R1_001.fastq.gz	6C1_S49_R2_001.fastq.gz		
6C2	1	6C2_S50_R1_001.fastq.gz	6C2_S50_R2_001.fastq.gz		
6C3	1	6C3_S51_R1_001.fastq.gz	6C3_S51_R2_001.fastq.gz		
6C4	1	6C4_S52_R1_001.fastq.gz	6C4_S52_R2_001.fastq.gz		
6C5	1	6C5_S53_R1_001.fastq.gz	6C5_S53_R2_001.fastq.gz		
6C6	1	6C6_S54_R1_001.fastq.gz	6C6_S54_R2_001.fastq.gz		
6C7	1	6C7_S55_R1_001.fastq.gz	6C7_S55_R2_001.fastq.gz		
6C8	1	6C8_S56_R1_001.fastq.gz	6C8_S56_R2_001.fastq.gz		
6D1	1	6D1_S57_R1_001.fastq.gz	6D1_S57_R2_001.fastq.gz		
6D2	1	6D2_S58_R1_001.fastq.gz	6D2_S58_R2_001.fastq.gz		
6D3	1	6D3_S59_R1_001.fastq.gz	6D3_S59_R2_001.fastq.gz		
6D4	1	6D4_S60_R1_001.fastq.gz	6D4_S60_R2_001.fastq.gz		
6D5	1	6D5_S61_R1_001.fastq.gz	6D5_S61_R2_001.fastq.gz		
6D6	1	6D6_S62_R1_001.fastq.gz	6D6_S62_R2_001.fastq.gz		
6D7	1	6D7_S63_R1_001.fastq.gz	6D7_S63_R2_001.fastq.gz		
6D8	1	6D8_S64_R1_001.fastq.gz	6D8_S64_R2_001.fastq.gz		
